2026-05-08 10:43:55.136 INFO  [restartedMain] com.example.Application - Started Application in 28.643 seconds (process running for 29.653)
2026-05-08 10:43:55.155 INFO  [restartedMain] c.v.b.d.DevModeHandlerManagerImpl - Application running at http://localhost:8081/
2026-05-08 10:43:55.175 INFO  [core-1] c.e.d.service.DataAcquisitionTask - >>> READING CYCLE (every 60 seconds) <<<
2026-05-08 10:43:55.176 INFO  [core-1] c.e.d.s.PLCDataAcquisitionService - === STARTING PLC READ CYCLE ===
2026-05-08 10:43:55.182 INFO  [core-1] c.e.d.s.PLCDataAcquisitionService - Reading PLC: PLC1 (192.168.0.5)
2026-05-08 10:43:55.457 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Linea03 - Primer dato (esperando próximo ciclo): 336226.4375
2026-05-08 10:43:55.457 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Linea04 - Primer dato (esperando próximo ciclo): 340025.5
2026-05-08 10:43:55.457 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Linea09 - Primer dato (esperando próximo ciclo): 435870.4375
2026-05-08 10:43:55.457 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Linea18 - Primer dato (esperando próximo ciclo): 746216.375
2026-05-08 10:43:55.457 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Linea34 - Primer dato (esperando próximo ciclo): 91119.0078125
2026-05-08 10:43:55.459 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh OrientadoraL3 - Primer dato (esperando próximo ciclo): 236456.671875
2026-05-08 10:43:55.459 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh CabezalXTR2 - Primer dato (esperando próximo ciclo): 271504.96875
2026-05-08 10:43:55.459 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Mixer01 - Primer dato (esperando próximo ciclo): 288304.0625
2026-05-08 10:43:55.460 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Mixer02 - Primer dato (esperando próximo ciclo): 421131.46875
2026-05-08 10:43:55.460 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Mixer03 - Primer dato (esperando próximo ciclo): 242766.75
2026-05-08 10:43:55.460 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Mixer04 - Primer dato (esperando próximo ciclo): 144834.109375
2026-05-08 10:43:55.461 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Molino - Primer dato (esperando próximo ciclo): 105507.859375
2026-05-08 10:43:55.461 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Pulverizador - Primer dato (esperando próximo ciclo): 34023.51953125
2026-05-08 10:43:55.462 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh ServicioAux - Primer dato (esperando próximo ciclo): 39166.90234375
2026-05-08 10:43:55.463 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Ribloc - Primer dato (esperando próximo ciclo): 32654.033203125
2026-05-08 10:43:55.468 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Sauer - Primer dato (esperando próximo ciclo): 30148.591796875
2026-05-08 10:43:55.965 INFO  [core-1] c.e.d.service.LecturaRepository - DEV MODE: salteando insert de 160 lecturas (persist-readings=false)
2026-05-08 10:43:56.140 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para Linea03: {fecha=08-05-2026 10:43:44, VAB=442.29815673828125, VBC=445.21014404296875, PF=0.9943274855613708, PW=55.37200927734375, IA=68.32311248779297, VAC=444.8891906738281, IB=72.56283569335938, IC=75.79822540283203, KWh=336226.15625}
2026-05-08 10:43:56.141 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: Linea03 | Clientes conectados: 0
2026-05-08 10:43:56.141 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para Linea03
2026-05-08 10:43:56.187 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para Linea04: {fecha=08-05-2026 10:43:44, VAB=442.3831787109375, VBC=445.3340148925781, PF=0.93274986743927, PW=40.015377044677734, IA=47.461265563964844, VAC=444.9925231933594, IB=54.23410415649414, IC=67.56080627441406, KWh=340025.21875}
2026-05-08 10:43:56.188 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: Linea04 | Clientes conectados: 0
2026-05-08 10:43:56.191 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para Linea04
2026-05-08 10:43:56.246 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para Linea09: {fecha=08-05-2026 10:43:44, VAB=442.6161804199219, VBC=445.5465087890625, PF=1.005723476409912, PW=69.85633087158203, IA=96.71804809570312, VAC=445.19757080078125, IB=96.71804809570312, IC=96.6170425415039, KWh=435869.90625}
2026-05-08 10:43:56.246 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: Linea09 | Clientes conectados: 0
2026-05-08 10:43:56.248 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para Linea09
2026-05-08 10:43:56.320 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para Linea18: {fecha=08-05-2026 10:43:44, VAB=429.7029113769531, VBC=425.39251708984375, PF=0.9635741114616394, PW=73.19853210449219, IA=129.46835327148438, VAC=428.7695007324219, IB=113.14234161376953, IC=112.55484008789062, KWh=746215.8125}
2026-05-08 10:43:56.322 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: Linea18 | Clientes conectados: 0
2026-05-08 10:43:56.322 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para Linea18
2026-05-08 10:43:56.411 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para Linea34: {fecha=08-05-2026 10:43:44, VAB=211.51904296875, VBC=210.0523223876953, PF=1.076396107673645, PW=7.998302936553955, IA=26.686235427856445, VAC=210.23304748535156, IB=25.107337951660156, IC=17.979324340820312, KWh=91118.921875}
2026-05-08 10:43:56.412 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: Linea34 | Clientes conectados: 0
2026-05-08 10:43:56.413 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para Linea34
2026-05-08 10:43:56.559 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para OrientadoraL3: {fecha=08-05-2026 10:43:44, VAB=212.6228485107422, VBC=211.45455932617188, PF=0.5320081114768982, PW=27.82183265686035, IA=136.6513214111328, VAC=212.4073486328125, IB=152.35166931152344, IC=135.02694702148438, KWh=236456.46875}
